time,v,w,noise
2.000000000000000000e+02,-2.922099456191062927e-02,-1.153957284986972809e-02,2.100529521703720093e-02
2.001000061035156250e+02,-3.211636468768119812e-02,-1.154264342039823532e-02,-4.287583287805318832e-03
2.001999969482421875e+02,-3.700697422027587891e-02,-1.154715940356254578e-02,-6.317070685327053070e-03
2.003000030517578125e+02,-3.140097856521606445e-02,-1.155411545187234879e-02,4.117378499358892441e-03
2.003999938964843750e+02,-2.759263291954994202e-02,-1.155826169997453690e-02,2.389300847426056862e-03
2.005000000000000000e+02,-3.954382240772247314e-02,-1.156049966812133789e-02,-1.332702301442623138e-02
2.006000061035156250e+02,-2.736901864409446716e-02,-1.156871113926172256e-02,1.065066084265708923e-02
2.006999969482421875e+02,-2.688820846378803253e-02,-1.157082710415124893e-02,-8.936082012951374054e-04
2.008000030517578125e+02,-3.605804592370986938e-02,-1.157269999384880066e-02,-1.053921785205602646e-02
2.008999938964843750e+02,-2.330148220062255859e-02,-1.157915592193603516e-02,1.127779670059680939e-02
2.010000000000000000e+02,-1.603310368955135345e-02,-1.157922763377428055e-02,5.935679655522108078e-03
2.011000061035156250e+02,-2.676410973072052002e-02,-1.157566532492637634e-02,-1.199649833142757416e-02
2.011999969482421875e+02,-8.535755798220634460e-03,-1.157747209072113037e-02,1.685983687639236450e-02
2.013000030517578125e+02,-1.077716820873320103e-03,-1.157016213983297348e-02,6.249900441616773605e-03
2.013999938964843750e+02,-1.191878891404485330e-05,-1.155913062393665314e-02,-9.672884334577247500e-05
2.015000000000000000e+02,1.623019389808177948e-02,-1.154757756739854813e-02,1.508614048361778259e-02
2.016000061035156250e+02,1.884226314723491669e-02,-1.152791455388069153e-02,1.511231414042413235e-03
2.016999969482421875e+02,1.967103220522403717e-02,-1.150696538388729095e-02,-2.664194325916469097e-04
2.018000030517578125e+02,1.449908502399921417e-02,-1.148562319576740265e-02,-6.264157127588987350e-03
2.018999938964843750e+02,2.111683785915374756e-02,-1.146688777953386307e-02,5.519918166100978851e-03
2.020000000000000000e+02,2.672527544200420380e-02,-1.144486293196678162e-02,4.521452821791172028e-03
2.021000061035156250e+02,2.794848941266536713e-02,-1.142005529254674911e-02,1.392680424032732844e-04
2.021999969482421875e+02,2.153611741960048676e-02,-1.139466091990470886e-02,-7.494468707591295242e-03
2.023000030517578125e+02,2.384822629392147064e-02,-1.137249823659658432e-02,1.232622773386538029e-03
2.023999938964843750e+02,2.426242642104625702e-02,-1.134920120239257812e-02,-6.621694192290306091e-04
2.025000000000000000e+02,1.268596760928630829e-02,-1.132572069764137268e-02,-1.265044789761304855e-02
2.026000061035156250e+02,-1.910342252813279629e-04,-1.130805164575576782e-02,-1.396283786743879318e-02
2.026999969482421875e+02,6.302245426923036575e-03,-1.129683945327997208e-02,5.361515562981367111e-03
2.028000030517578125e+02,-1.727911643683910370e-02,-1.128239184617996216e-02,-2.468368038535118103e-02
2.028999938964843750e+02,-1.408392097800970078e-02,-1.127974875271320343e-02,1.948695397004485130e-03
2.030000000000000000e+02,-1.739991456270217896e-02,-1.127551123499870300e-02,-4.535493906587362289e-03
2.031000061035156250e+02,-3.741930471733212471e-03,-1.127293612807989120e-02,1.241111662238836288e-02
2.031999969482421875e+02,-7.275902200490236282e-03,-1.126353442668914795e-02,-4.681450314819812775e-03
2.033000030517578125e+02,1.488444395363330841e-04,-1.125590875744819641e-02,6.256416440010070801e-03
2.033999938964843750e+02,-2.491761930286884308e-03,-1.124457828700542450e-02,-3.765455214306712151e-03
2.035000000000000000e+02,-2.750820713117718697e-04,-1.123457960784435272e-02,1.079109730198979378e-03
2.036000061035156250e+02,7.840004749596118927e-03,-1.122348289936780930e-02,6.990245077759027481e-03
2.036999969482421875e+02,4.541370086371898651e-03,-1.120833959430456161e-02,-4.388188943266868591e-03
2.038000030517578125e+02,1.509580295532941818e-02,-1.119486056268215179e-02,9.454149752855300903e-03
2.038999938964843750e+02,6.736347917467355728e-03,-1.117611769586801529e-02,-9.427045471966266632e-03
2.040000000000000000e+02,1.061976514756679535e-02,-1.116157323122024536e-02,2.794753061607480049e-03
2.041000061035156250e+02,2.044747397303581238e-02,-1.114510186016559601e-02,8.752929046750068665e-03
2.041999969482421875e+02,2.776445820927619934e-02,-1.112373266369104385e-02,6.261665374040603638e-03
2.043000030517578125e+02,4.699780046939849854e-02,-1.109872665256261826e-02,1.818099245429039001e-02
2.043999938964843750e+02,4.085160419344902039e-02,-1.106412895023822784e-02,-7.242621388286352158e-03
2.045000000000000000e+02,2.883841283619403839e-02,-1.103263907134532928e-02,-1.308375876396894455e-02
2.046000061035156250e+02,2.044931799173355103e-02,-1.100718695670366287e-02,-9.433090686798095703e-03
2.046999969482421875e+02,2.775635197758674622e-02,-1.098595466464757919e-02,6.265508476644754410e-03
2.048000030517578125e+02,3.351863101124763489e-02,-1.096109021455049515e-02,4.723711870610713959e-03
2.048999938964843750e+02,3.553143888711929321e-02,-1.093336939811706543e-02,9.700918453745543957e-04
2.050000000000000000e+02,2.592188678681850433e-02,-1.090467069298028946e-02,-1.065330579876899719e-02
2.051000061035156250e+02,3.422669693827629089e-02,-1.088080462068319321e-02,7.275141775608062744e-03
2.051999969482421875e+02,2.364406920969486237e-02,-1.085281092673540115e-02,-1.161856949329376221e-02
2.053000030517578125e+02,3.566326946020126343e-02,-1.083013601601123810e-02,1.099476125091314316e-02
2.053999938964843750e+02,6.380502134561538696e-02,-1.080147456377744675e-02,2.710804156959056854e-02
2.055000000000000000e+02,6.844409555196762085e-02,-1.075877062976360321e-02,3.476460929960012436e-03
2.056000061035156250e+02,7.516942173242568970e-02,-1.071378961205482483e-02,5.531849339604377747e-03
2.056999969482421875e+02,7.174009829759597778e-02,-1.066549122333526611e-02,-4.675678443163633347e-03
2.058000030517578125e+02,5.577823147177696228e-02,-1.061895582824945450e-02,-1.717319153249263763e-02
2.058999938964843750e+02,5.115266144275665283e-02,-1.058044750243425369e-02,-5.717897787690162659e-03
2.060000000000000000e+02,4.184818640351295471e-02,-1.054429076611995697e-02,-1.036811433732509613e-02
2.061000061035156250e+02,2.914243936538696289e-02,-1.051282230764627457e-02,-1.372749079018831253e-02
2.061999969482421875e+02,4.647444933652877808e-02,-1.048773806542158127e-02,1.633974164724349976e-02
2.063000030517578125e+02,5.009620264172554016e-02,-1.045401301234960556e-02,2.588601084426045418e-03
2.063999938964843750e+02,5.474409461021423340e-02,-1.041851099580526352e-02,3.602032549679279327e-03
2.065000000000000000e+02,5.287885293364524841e-02,-1.038072071969509125e-02,-2.931643510237336159e-03
2.066000061035156250e+02,5.229134485125541687e-02,-1.034390088170766830e-02,-1.639999100007116795e-03
